base_family,arm,barrier_id,mean_pct,sd_rate,n_iter,ci95_pct
gemma3,low-numeric,8,17.333333333333336,0.021081851067789203,10,1.306666666666667
gemma3,low-numeric,9,4.333333333333334,0.03162277660168379,10,1.9599999999999997
gemma3,low-numeric,10,3.6666666666666665,0.02459549291242073,10,1.5244444444444445
gemma3,low-numeric,11,18.333333333333336,0.02357022603955159,10,1.4608977452998628
gemma3,high-numeric,1,20,0,10,0
gemma3,high-numeric,2,0,0,10,0
gemma3,high-numeric,3,0.3333333333333333,0.010540925533894597,10,0.6533333333333332
gemma3,high-numeric,4,17.333333333333336,0.026293687924887187,10,1.6296996617948725
gemma3,high-numeric,5,6.333333333333334,0.04288946459026396,10,2.6583165563153393
gemma3,high-numeric,6,3.6666666666666665,0.033147630867058436,10,2.0545114465367713
gemma3,high-numeric,7,11.333333333333332,0.03912625969257557,10,2.4250707002548535
gemma3,high-numeric,8,17,0.029186501192363778,10,1.8089980857021586
gemma3,high-numeric,9,1,0.02249828525701843,10,1.3944581672631537
gemma3,high-numeric,10,7.333333333333333,0.043885372573625556,10,2.720043572635747
gemma3,high-numeric,11,15.666666666666668,0.04172218523448575,10,2.5859678322882576
